exporter_iso3,importer_iso3,hormuz_share
ABW,BEL,0.0
ABW,KOR,0.0
ABW,NLD,0.0
ABW,SAU,0.0
AFG,BFA,0.0
AFG,BHR,0.0
AFG,CAN,0.0
AFG,GBR,0.0
AFG,MOZ,0.0
AFG,PAK,0.0
AFG,POL,0.0
AFG,UZB,0.0
AGO,BEL,0.0
AGO,BFA,0.0
AGO,BGR,0.0
AGO,BIH,0.0
AGO,BRA,0.0
AGO,CAN,0.0
AGO,CHN,0.0
AGO,CZE,0.0
AGO,DEU,0.0
AGO,DOM,0.0
AGO,ESP,0.0
AGO,FRA,0.0
AGO,GBR,0.0
AGO,GIB,0.0
AGO,GRC,0.0
AGO,HRV,0.0
AGO,IDN,0.0
AGO,IND,0.0
AGO,ISR,0.0
AGO,ITA,0.0
AGO,MAR,0.0
AGO,MUS,0.0
AGO,MYS,0.0
AGO,NAM,0.0
AGO,NLD,0.0
AGO,POL,0.0
AGO,PRT,0.0
AGO,S19,0.0
AGO,SGP,0.0
AGO,SRB,0.0
AGO,THA,0.0
AGO,TUR,0.0
AGO,USA,0.0
AGO,VNM,0.0
AGO,ZAF,0.0
AIA,PER,0.0
AIA,PRY,0.0
ALB,AUT,0.0
ALB,BEL,0.0
ALB,BGR,0.0
ALB,BHR,0.0
ALB,BIH,0.0
ALB,BLZ,0.0
ALB,CAN,0.0
ALB,CHE,0.0
ALB,CHN,0.0
ALB,CIV,0.0
ALB,CYP,0.0
ALB,CZE,0.0
ALB,DEU,0.0
ALB,DNK,0.0
ALB,ECU,0.0
ALB,ESP,0.0
ALB,EST,0.0
ALB,FIN,0.0
ALB,FRA,0.0
ALB,GBR,0.0
ALB,GRC,0.0
ALB,HRV,0.0
ALB,IRL,0.0
ALB,ISR,0.0
ALB,ITA,0.0
ALB,LKA,0.0
ALB,LTU,0.0
ALB,LUX,0.0
ALB,MAR,0.0
ALB,MKD,0.0
ALB,MLT,0.0
ALB,MNE,0.0
ALB,NLD,0.0
ALB,PAN,0.0
ALB,POL,0.0
ALB,PRT,0.0
ALB,ROU,0.0
ALB,SAU,0.0
ALB,SEN,0.0
ALB,SRB,0.0
ALB,SVK,0.0
ALB,SVN,0.0
ALB,SWE,0.0
ALB,THA,0.0
ALB,TUN,0.0
ALB,TUR,0.0
ALB,UKR,0.0
ALB,UZB,0.0
ALB,ZAF,0.0
AND,CAN,0.0
AND,ESP,0.0
AND,FRA,0.0
AND,ITA,0.0
AND,POL,0.0
AND,SLV,0.0
ARE,AGO,1.0
ARE,ARG,1.0
ARE,ARM,1.0
ARE,AUS,1.0
ARE,AUT,1.0
ARE,AZE,1.0
ARE,BEL,1.0
ARE,BEN,1.0
ARE,BFA,1.0
ARE,BGR,1.0
ARE,BHR,1.0
ARE,BIH,1.0
ARE,BLZ,1.0
ARE,BOL,1.0
ARE,BRA,1.0
ARE,BRB,1.0
ARE,BRN,1.0
ARE,CAF,1.0
ARE,CAN,1.0
ARE,CHE,1.0
ARE,CHL,1.0
ARE,CHN,0.5
ARE,CIV,1.0
ARE,COL,1.0
ARE,CRI,1.0
ARE,CYP,1.0
ARE,DEU,1.0
ARE,DNK,1.0
ARE,DOM,1.0
ARE,ECU,1.0
ARE,EGY,1.0
ARE,ESP,1.0
ARE,FIN,1.0
ARE,FJI,1.0
ARE,FRA,1.0
ARE,GBR,1.0
ARE,GMB,1.0
ARE,GRC,1.0
ARE,GTM,1.0
ARE,HKG,1.0
ARE,HND,1.0
ARE,HUN,1.0
ARE,IDN,1.0
ARE,IND,0.5
ARE,IRL,1.0
ARE,ISL,1.0
ARE,ISR,1.0
ARE,ITA,1.0
ARE,JPN,0.5
ARE,KAZ,1.0
ARE,KEN,1.0
ARE,KGZ,1.0
ARE,KHM,1.0
ARE,KOR,0.5
ARE,KWT,1.0
ARE,LKA,1.0
ARE,LSO,1.0
ARE,LTU,1.0
ARE,LUX,1.0
ARE,LVA,1.0
ARE,MAR,1.0
ARE,MDA,1.0
ARE,MDG,1.0
ARE,MDV,1.0
ARE,MEX,1.0
ARE,MKD,1.0
ARE,MLT,1.0
ARE,MMR,1.0
ARE,MOZ,1.0
ARE,MRT,1.0
ARE,MUS,1.0
ARE,MWI,1.0
ARE,MYS,1.0
ARE,NAM,1.0
ARE,NER,1.0
ARE,NGA,1.0
ARE,NIC,1.0
ARE,NLD,1.0
ARE,NOR,1.0
ARE,NZL,1.0
ARE,PAK,1.0
ARE,PAN,1.0
ARE,PER,1.0
ARE,PHL,1.0
ARE,POL,1.0
ARE,PRT,1.0
ARE,PRY,1.0
ARE,QAT,1.0
ARE,ROU,1.0
ARE,S19,1.0
ARE,SAU,1.0
ARE,SEN,1.0
ARE,SGP,1.0
ARE,SLV,1.0
ARE,SRB,1.0
ARE,SVK,1.0
ARE,SVN,1.0
ARE,SWE,1.0
ARE,SYC,1.0
ARE,THA,1.0
ARE,TUN,1.0
ARE,TUR,1.0
ARE,TZA,1.0
ARE,UGA,1.0
ARE,UKR,1.0
ARE,URY,1.0
ARE,USA,1.0
ARE,UZB,1.0
ARE,ZAF,1.0
ARE,ZMB,1.0
ARE,ZWE,1.0
ARG,AUS,0.0
ARG,BEL,0.0
ARG,BFA,0.0
ARG,BGR,0.0
ARG,BLZ,0.0
ARG,BOL,0.0
ARG,BRA,0.0
ARG,CAN,0.0
ARG,CHL,0.0
ARG,CHN,0.0
ARG,COL,0.0
ARG,DEU,0.0
ARG,DOM,0.0
ARG,ECU,0.0
ARG,ESP,0.0
ARG,FRA,0.0
ARG,GTM,0.0
ARG,HND,0.0
ARG,HUN,0.0
ARG,IND,0.0
ARG,ISL,0.0
ARG,ITA,0.0
ARG,KEN,0.0
ARG,KOR,0.0
ARG,MYS,0.0
ARG,NER,0.0
ARG,NGA,0.0
ARG,NIC,0.0
ARG,NLD,0.0
ARG,PAN,0.0
ARG,PER,0.0
ARG,PRY,0.0
ARG,SEN,0.0
ARG,SGP,0.0
ARG,SWE,0.0
ARG,THA,0.0
ARG,TUR,0.0
ARG,TZA,0.0
ARG,UGA,0.0
ARG,URY,0.0
ARG,USA,0.0
ARG,ZAF,0.0
ARG,ZMB,0.0
ARM,BGR,0.0
ARM,BLR,0.0
ARM,CAN,0.0
ARM,CZE,0.0
ARM,DEU,0.0
ARM,FRA,0.0
ARM,GEO,0.0
ARM,IRN,0.0
ARM,RUS,0.0
ARM,ZAF,0.0
ASM,IDN,0.0
ASM,NER,0.0
ASM,SEN,0.0
ATG,BHS,0.0
ATG,BMU,0.0
ATG,DOM,0.0
ATG,FRA,0.0
ATG,ITA,0.0
ATG,MUS,0.0
ATG,NLD,0.0
ATG,SEN,0.0
ATG,USA,0.0
ATG,ZAF,0.0
AUS,ARE,0.0
AUS,ARG,0.0
AUS,AUT,0.0
AUS,AZE,0.0
AUS,BEL,0.0
AUS,BFA,0.0
AUS,BGR,0.0
AUS,BHR,0.0
AUS,BIH,0.0
AUS,BRA,0.0
AUS,BRN,0.0
AUS,CAN,0.0
AUS,CCK,0.0
AUS,CHE,0.0
AUS,CHL,0.0
AUS,CHN,0.0
AUS,CIV,0.0
AUS,COK,0.0
AUS,COL,0.0
AUS,CXR,0.0
AUS,CYP,0.0
AUS,CZE,0.0
AUS,DEU,0.0
AUS,DNK,0.0
AUS,ECU,0.0
AUS,EGY,0.0
AUS,ESP,0.0
AUS,EST,0.0
AUS,FIN,0.0
AUS,FJI,0.0
AUS,FRA,0.0
AUS,GAB,0.0
AUS,GBR,0.0
AUS,GEO,0.0
AUS,GHA,0.0
AUS,GRC,0.0
AUS,HKG,0.0
AUS,HRV,0.0
AUS,HUN,0.0
AUS,IDN,0.0
AUS,IND,0.0
AUS,IRL,0.0
AUS,ISL,0.0
AUS,ISR,0.0
AUS,ITA,0.0
AUS,JPN,0.0
AUS,KEN,0.0
AUS,KHM,0.0
AUS,KIR,0.0
AUS,KOR,0.0
AUS,KWT,0.0
AUS,LAO,0.0
AUS,LKA,0.0
AUS,LUX,0.0
AUS,MAR,0.0
AUS,MDA,0.0
AUS,MDV,0.0
AUS,MEX,0.0
AUS,MHL,0.0
AUS,MMR,0.0
AUS,MNE,0.0
AUS,MNG,0.0
AUS,MUS,0.0
AUS,MYS,0.0
AUS,NAM,0.0
AUS,NCL,0.0
AUS,NFK,0.0
AUS,NGA,0.0
AUS,NIC,0.0
AUS,NLD,0.0
AUS,NOR,0.0
AUS,NPL,0.0
AUS,NRU,0.0
AUS,NZL,0.0
AUS,PAK,0.0
AUS,PER,0.0
AUS,PHL,0.0
AUS,PNG,0.0
AUS,POL,0.0
AUS,PRT,0.0
AUS,PYF,0.0
AUS,S19,0.0
AUS,SAU,0.0
AUS,SEN,0.0
AUS,SGP,0.0
AUS,SLB,0.0
AUS,SLV,0.0
AUS,SRB,0.0
AUS,SVK,0.0
AUS,SVN,0.0
AUS,SWE,0.0
AUS,THA,0.0
AUS,TLS,0.0
AUS,TON,0.0
AUS,TUN,0.0
AUS,TUR,0.0
AUS,TUV,0.0
AUS,TZA,0.0
AUS,UGA,0.0
AUS,URY,0.0
AUS,USA,0.0
