exporter_iso3,importer_iso3,quantity_tons
ABW,BEL,0.001
ABW,KOR,259.52
ABW,NLD,0.20700000000000002
ABW,SAU,53.101
AFG,BFA,0.069
AFG,BHR,6.46
AFG,CAN,0.001
AFG,GBR,0.198
AFG,MOZ,1.885
AFG,PAK,708.53
AFG,POL,28.764
AFG,UZB,54995.39
AGO,BEL,11456.438
AGO,BFA,10193.312
AGO,BGR,163.72
AGO,BIH,19.27
AGO,BRA,1742336.95
AGO,CAN,8985.21
AGO,CHN,29196706.5
AGO,CZE,0.043
AGO,DEU,195933.557
AGO,DOM,1920.76
AGO,ESP,3920822.002
AGO,FRA,2880693.045
AGO,GBR,1019044.2779999999
AGO,GIB,1158.7
AGO,GRC,3069.351
AGO,HRV,982.066
AGO,IDN,2946860.064
AGO,IND,7750072.195
AGO,ISR,950.514
AGO,ITA,1123169.41
AGO,MAR,129.6
AGO,MUS,57964.6
AGO,MYS,676409.578
AGO,NAM,585.291
AGO,NLD,1297524.128
AGO,POL,18.76
AGO,PRT,129247.077
AGO,S19,21143.639
AGO,SGP,1125441.0
AGO,SRB,79.95
AGO,THA,795356.029
AGO,TUR,3735.86
AGO,USA,3405232.0
AGO,VNM,2976.45
AGO,ZAF,1264183.25
AIA,PER,0.019
AIA,PRY,2077.07
ALB,AUT,18.089
ALB,BEL,1.199
ALB,BGR,616.753
ALB,BHR,0.72
ALB,BIH,975.275
ALB,BLZ,26.273
ALB,CAN,0.019
ALB,CHE,0.004
ALB,CHN,0.146
ALB,CIV,978.201
ALB,CYP,12.288
ALB,CZE,4.187
ALB,DEU,2212.883
ALB,DNK,92.127
ALB,ECU,0.041
ALB,ESP,225067.482
ALB,EST,0.442
ALB,FIN,0.022
ALB,FRA,656.726
ALB,GBR,22.859999999999996
ALB,GRC,7336.283
ALB,HRV,905.332
ALB,IRL,1.184
ALB,ISR,628.212
ALB,ITA,33278.57
ALB,LKA,10.84
ALB,LTU,75.947
ALB,LUX,54.98
ALB,MAR,38.467
ALB,MKD,6409.84
ALB,MLT,507.744
ALB,MNE,15534.121
ALB,NLD,6346.844
ALB,PAN,64.721
ALB,POL,107.693
ALB,PRT,96.10399999999998
ALB,ROU,291.98199999999997
ALB,SAU,212.713
ALB,SEN,28.48
ALB,SRB,597.062
ALB,SVK,2.131
ALB,SVN,6.4399999999999995
ALB,SWE,373.856
ALB,THA,0.001
ALB,TUN,332.756
ALB,TUR,582.649
ALB,UKR,67.317
ALB,UZB,0.015
ALB,ZAF,10.0
AND,CAN,0.039
AND,ESP,0.03
AND,FRA,4.378
AND,ITA,0.023
AND,POL,0.008
AND,SLV,3148.24
ARE,AGO,16954.709
ARE,ARG,325093.282
ARE,ARM,20232.665
ARE,AUS,1102784.608
ARE,AUT,334.94
ARE,AZE,2337.411
ARE,BEL,252142.09300000002
ARE,BEN,5014.398999999999
ARE,BFA,49875.594999999994
ARE,BGR,33630.04
ARE,BHR,15718.762
ARE,BIH,20.503
ARE,BLZ,17.903
ARE,BOL,70.229
ARE,BRA,692263.139
ARE,BRB,92.201
ARE,BRN,921572.941
ARE,CAF,2171.11
ARE,CAN,48404.140999999996
ARE,CHE,832.626
ARE,CHL,1396.428
ARE,CHN,47458012.92
ARE,CIV,19861.420000000002
ARE,COL,1765.352
ARE,CRI,605.034
ARE,CYP,855.173
ARE,DEU,1289874.741
ARE,DNK,157592.132
ARE,DOM,21470.87
ARE,ECU,1899.321
ARE,EGY,524704.943
ARE,ESP,331481.166
ARE,FIN,5526.708
ARE,FJI,326.032
ARE,FRA,3240172.75
ARE,GBR,2685525.0919999997
ARE,GMB,2584.215
ARE,GRC,1293.717
ARE,GTM,3755.123
ARE,HKG,141.0
ARE,HND,731.614
ARE,HUN,32.156
ARE,IDN,1726172.263
ARE,IND,35508939.403
ARE,IRL,248300.382
ARE,ISL,416.338
ARE,ISR,197647.263
ARE,ITA,1158009.761
ARE,JPN,55386729.285
ARE,KAZ,2119.274
ARE,KEN,2674770.452
ARE,KGZ,726.962
ARE,KHM,1609.17
ARE,KOR,26573233.992
ARE,KWT,38285.695
ARE,LKA,1898274.658
ARE,LSO,430.434
ARE,LTU,505.64
ARE,LUX,0.001
ARE,LVA,24906.687
ARE,MAR,454805.123
ARE,MDA,49729.848
ARE,MDG,190223.581
ARE,MDV,442735.946
ARE,MEX,1424.6
ARE,MKD,237.03
ARE,MLT,13.17
ARE,MMR,7257.802
ARE,MOZ,360763.27099999995
ARE,MRT,764011.089
ARE,MUS,1084848.1360000002
ARE,MWI,51273.708
ARE,MYS,6167004.03
ARE,NAM,243219.947
ARE,NER,158.61399999999998
ARE,NGA,490033.555
ARE,NIC,20.289
ARE,NLD,833349.217
ARE,NOR,320293.60699999996
ARE,NZL,1035.57
ARE,PAK,7899791.072
ARE,PAN,542.328
ARE,PER,3959.005
ARE,PHL,2228464.394
ARE,POL,90171.374
ARE,PRT,13.376
ARE,PRY,180192.784
ARE,QAT,63302.467000000004
ARE,ROU,5044.334
ARE,S19,6884123.881
ARE,SAU,2526930.688
