country_iso3,volume_loss_pct,rerouting_cost_pct,exposure_score,import_volume_kt
MDG,0.9394,5.0,5.6365,1084.3
PAK,0.8404,5.0,5.0426,31209.4
THA,0.7746,5.0,4.6474,214693.0
UGA,0.747,5.0,4.4817,2266.2
MDV,0.7345,5.0,4.4067,1052.1
KEN,0.6061,5.0,3.6365,6681.7
SYC,0.5874,5.0,3.5244,650.0
ZMB,0.5423,5.0,3.2541,1889.8
JPN,0.4444,5.0,2.6662,226999.0
MWI,0.4409,5.0,2.6455,237.6
TZA,0.4193,5.0,2.5156,6332.6
KOR,0.3994,5.0,2.3962,298360.4
S19,0.3914,4.3898,2.1096,101607.8
IND,0.3506,5.0,2.1038,389496.2
CHN,0.334,5.0,2.004,779728.7
NAM,0.4262,3.072,1.7354,1823.8
MRT,0.5561,1.2683,1.2614,1373.9
ZAF,0.4102,1.9641,1.2158,32573.7
GRC,0.2023,5.0,1.2141,56513.3
SRB,0.1858,5.0,1.1149,6161.7
ZWE,0.1742,5.0,1.0454,1772.3
ARM,0.1424,5.0,0.8543,2659.7
MUS,0.5552,0.5335,0.8515,2105.9
BGR,0.1418,5.0,0.8506,15180.8
PHL,0.2959,1.7186,0.8044,24617.7
ISL,0.1136,5.0,0.6814,1331.0
LKA,0.4369,0.5586,0.6809,6274.6
MMR,0.1007,5.0,0.6042,13810.4
MYS,0.0978,5.0,0.5867,212023.6
LTU,0.2153,1.4233,0.5217,17309.2
IDN,0.1139,3.2991,0.4896,78538.7
TUR,0.0669,5.0,0.4013,68513.2
ALB,0.2156,0.7747,0.3826,1344.8
SGP,0.1758,0.9928,0.3503,226419.1
MAR,0.1491,1.3303,0.3474,21230.0
POL,0.215,0.3674,0.294,45585.5
USA,0.0427,5.0,0.2561,957310.1
EGY,0.1366,0.3302,0.1818,35599.3
SVN,0.15,0.1196,0.1679,7320.0
MOZ,0.0996,0.5184,0.1513,11117.4
SEN,0.102,0.1642,0.1188,8110.9
FRA,0.1139,0.0,0.1139,148991.2
ITA,0.1039,0.0,0.1039,163357.0
PRY,0.1031,0.0,0.1031,2364.8
IRL,0.0932,0.0,0.0932,11953.4
UKR,0.0809,0.0,0.0809,9018.5
QAT,0.0134,5.0,0.0806,128361.3
AUT,0.0773,0.0,0.0773,15172.6
URY,0.0758,0.0,0.0758,2139.4
BRN,0.0634,0.177,0.0746,20779.6
GBR,0.0566,0.0,0.0566,168574.7
ESP,0.0538,0.0,0.0538,120563.6
NLD,0.0501,0.0,0.0501,292936.5
ROU,0.0436,0.0,0.0436,18296.3
CAN,0.0079,4.3416,0.0423,312125.4
DEU,0.0417,0.0,0.0417,162212.6
BFA,0.0416,0.0,0.0416,1930.7
BEN,0.0387,0.0,0.0387,604.2
BRA,0.0374,0.0,0.0374,153313.1
PRT,0.0354,0.0,0.0354,22042.0
HKG,0.0351,0.0,0.0351,23528.0
DNK,0.0333,0.0,0.0333,16920.3
CYP,0.0285,0.0,0.0285,4696.5
ARG,0.0252,0.0899,0.0274,18444.4
MDA,0.0269,0.0,0.0269,1976.5
ISR,0.022,0.0355,0.0228,11274.0
GMB,0.0213,0.0,0.0213,121.5
SAU,0.0121,0.6568,0.0201,369599.2
BEL,0.02,0.0,0.02,142839.6
LVA,0.0172,0.1524,0.0199,4229.2
SWE,0.018,0.0,0.018,38019.9
MKD,0.0162,0.0907,0.0176,1440.9
CAF,0.0157,0.0,0.0157,140.8
TUN,0.0133,0.0,0.0133,4407.6
EST,0.0098,0.04,0.0102,3013.2
HRV,0.0101,0.0,0.0101,10728.6
CIV,0.0087,0.0,0.0087,10595.3
AUS,0.0082,0.0,0.0082,151965.7
FIN,0.0063,0.0,0.0063,20396.4
BHR,0.0039,0.5843,0.0061,5972.1
NGA,0.0052,0.0,0.0052,94757.9
DOM,0.0043,0.0,0.0043,7975.7
UZB,0.0025,0.0,0.0025,8664.0
NOR,0.0018,0.0,0.0018,199700.3
LSO,0.0015,0.024,0.0016,303.0
JOR,0.0013,0.1216,0.0014,951.4
CHL,0.0006,0.0,0.0006,24316.4
GTM,0.0006,0.0,0.0006,6434.3
KWT,0.0005,0.0258,0.0005,89541.6
KGZ,0.0004,0.0,0.0004,2014.7
KHM,0.0004,0.0,0.0004,4270.8
FJI,0.0003,0.0,0.0003,1238.4
CHE,0.0003,0.0,0.0003,13303.1
NER,0.0003,0.0,0.0003,834.8
AGO,0.0003,0.0104,0.0003,60929.8
PER,0.0002,0.0,0.0002,22160.0
CRI,0.0002,0.0,0.0002,3128.1
HND,0.0002,0.0,0.0002,3416.6
SYR,0.0002,0.0072,0.0002,150.6
SLV,0.0002,0.0,0.0002,3635.5
BIH,0.0002,0.0,0.0002,1858.7
ARE,0.0001,0.0,0.0001,415667.5
SVK,0.0001,0.0,0.0001,13534.0
NZL,0.0001,0.0,0.0001,9439.5
MEX,0.0001,0.0,0.0001,124346.2
ECU,0.0001,0.0,0.0001,36891.2
COL,0.0001,0.0,0.0001,38204.7
BRB,0.0001,0.0,0.0001,751.5
BLZ,0.0001,0.0,0.0001,312.8
AZE,0.0001,0.0,0.0001,46943.6
SXM,0.0,0.0,0.0,132.4
BWA,0.0,0.0,0.0,1173.1
BES,0.0,0.0,0.0,1226.7
CYM,0.0,0.0,0.0,370.6
VEN,0.0,0.0,0.0,26401.2
TTO,0.0,0.0,0.0,12907.3
TKM,0.0,0.0,0.0,24153.2
TJK,0.0,0.0,0.0,411.6
MAC,0.0,0.0,0.0,293.1
RWA,0.0,0.0011,0.0,132.8
CPV,0.0,0.0,0.0,234.5
LBN,0.0,0.0,0.0,3257.3
JAM,0.0,0.0,0.0,2253.9
GIN,0.0,0.0,0.0,325.7
DJI,0.0,0.0,0.0,465.6
CUB,0.0,0.0,0.0,108.7
COD,0.0,0.0039,0.0,1240.2
COG,0.0,0.0005,0.0,9702.8
GRL,0.0,0.0,0.0,262.3
CUW,0.0,0.0,0.0,708.4
SSD,0.0,0.0071,0.0,748.3
VGB,0.0,0.0,0.0,108.9
MNP,0.0,0.0,0.0,104.4
LCA,0.0,0.0,0.0,1222.8
GUM,0.0,0.0,0.0,546.7
